pressure,prev_file,next_file,prev_n,next_n,width,height,mask_nonzero_px,diff_nonzero_px,diff_nonzero_ratio,diff_abs_mean,diff_abs_stddev,diff_abs_max,diff_signed_mean,diff_signed_stddev,diff_signed_min,diff_signed_max
0.05,(virtual N0),pencil-highres-180x2020-dpi96-S200-P0.05-alignedN1-scale10-repeat500-transparent.png,0,1,180,2020,112558,100260,0.89074077,0.58799552,0.24428634,0.87843137,0.58799552,0.24428634,0,0.87843137
0.05,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN1-scale10-repeat500-transparent.png,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN2-scale10-repeat500-transparent.png,1,2,180,2020,112558,112460,0.99912934,0.26020143,0.19670062,0.87843137,0.26020143,0.19670062,0,0.87843137
0.05,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN2-scale10-repeat500-transparent.png,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN3-scale10-repeat500-transparent.png,2,3,180,2020,112558,112558,1,0.05460498,0.04651098,0.75294118,0.05460498,0.04651098,0.01176471,0.75294118
0.05,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN3-scale10-repeat500-transparent.png,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN4-scale10-repeat500-transparent.png,3,4,180,2020,112558,112490,0.99939587,0.02086391,0.01193694,0.33333333,0.02086391,0.01193694,0,0.33333333
0.05,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN4-scale10-repeat500-transparent.png,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN5-scale10-repeat500-transparent.png,4,5,180,2020,112558,74780,0.66436859,0.00796421,0.00656948,0.08235294,0.00796421,0.00656948,0,0.08235294
0.05,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN5-scale10-repeat500-transparent.png,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN6-scale10-repeat500-transparent.png,5,6,180,2020,112558,33582,0.29835285,0.00296046,0.00504071,0.04313725,0.00296046,0.00504071,0,0.04313725
0.05,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN6-scale10-repeat500-transparent.png,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN7-scale10-repeat500-transparent.png,6,7,180,2020,112558,19789,0.17581158,0.0016252,0.00390924,0.04313725,0.00053504,0.00419966,-0.04313725,0.04313725
0.05,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN7-scale10-repeat500-transparent.png,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN8-scale10-repeat500-transparent.png,7,8,180,2020,112558,19516,0.17338617,0.00157904,0.00383706,0.04313725,0.00004703,0.00414899,-0.04313725,0.04313725
0.05,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN8-scale10-repeat500-transparent.png,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN9-scale10-repeat500-transparent.png,8,9,180,2020,112558,19599,0.17412356,0.00160256,0.00387767,0.04313725,0.000007,0.00419577,-0.04313725,0.04313725
0.05,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN9-scale10-repeat500-transparent.png,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN10-scale10-repeat500-transparent.png,9,10,180,2020,112558,19640,0.17448782,0.00158036,0.00382781,0.04313725,-0.00000153,0.00414122,-0.04313725,0.04313725
0.05,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN10-scale10-repeat500-transparent.png,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN11-scale10-repeat500-transparent.png,10,11,180,2020,112558,19692,0.1749498,0.00160053,0.00386785,0.04313725,-0.00002359,0.00418586,-0.04313725,0.04313725
0.05,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN11-scale10-repeat500-transparent.png,pencil-highres-180x2020-dpi96-S200-P0.05-alignedN12-scale10-repeat500-transparent.png,11,12,180,2020,112558,19853,0.17638018,0.00161186,0.00387055,0.04313725,-0.00000467,0.00419276,-0.04313725,0.04313725
# summary_group,0.05,first_abs_mean01=0.58799552,first_nonzero_ratio=0.89074077,peak_abs_mean01=0.26020143,peak_nonzero_ratio=0.99912934,steady_tail_abs_mean01=0.00159883,steady_tail_nonzero_ratio=0.17498534,first_vs_peak=2.2597705,first_vs_steady=367.76679015
# features,0.05,first_vs_peak_abs=2.2597705,first_vs_steady_abs=367.76679015,first_vs_peak_area=0.89151698,first_vs_steady_area=5.09037368

# summary,wrote_any=True,skipped_decode=0,skipped_size_mismatch=0,skipped_mask_empty=0
